id,text,group_id
1,Nav.tn.ru- упростить фильтр в поиске систем ( гидроизоляцию и теплоизоляцию вывести вверх),786
2,"Nav.tn.ru - сделать фильтр поиска понятнее, вынести гидроизоляцию и теплоизоляцию наверх.",786
3,"Nav.tn.ru - оптимизировать фильтрацию, подняв категории гидроизоляции и теплоизоляции вверх.",786
4,"Nav.tn.ru - улучшить функцию фильтра, выступив с инициативой разместить теплоизоляцию и гидроизоляцию на верхних позициях.",786
5,Клиновидная теплоизоляция XPS CARBON PROF SLOPE – часто делают самостоятельно с помощью струны необходимым уклоном. Но применение такой продукции на объекте потом вызывает сложности с сертификацией и паспортами качества на продукт. Просили ТН изготавливать клины любого уклона под заказ.,902
6,"Чтобы создать клиновидную теплоизоляцию XPS CARBON PROF SLOPE, часто используют струну для формирования нужного угла. Однако, самостоятельное изготовление такой продукции приводит к проблемам с получением сертификатов и паспортов качества. Заказчики обращались к ТН с просьбой изготавливать клины под заказ с любым уклоном.",902
7,"Клиновидная теплоизоляция типа XPS CARBON PROF SLOPE часто создается самостоятельно, используя струну для нужного ската. Тем не менее, это вызывает сложности в получении сертификации и паспорта качества. ТН не раз просили изготовить клины на заказ с любым требуемым углом.",902
8,Самостоятельное создание клиновидной теплоизоляции XPS CARBON PROF SLOPE с использованием струны зачастую приводит к трудностям при сертификации и в оформлении паспорта качества. ТН поступали запросы на изготовление клинов с нужным уклоном под заказ.,902
9,Вкладывать в коробку с готовой продукцией листовку со схемой подключения обогреваемых кровельных воронок.,289
10,Размещать в упаковке с готовой продукцией инструкцию по установке систем обогрева кровельных воронок.,289
11,Добавлять в упаковку с продукцией листовку с инструкциями по подключению обогреваемых воронок для крыш.,289
12,Вкладывать в коробку с продукцией информацию о монтаже обогревающихся кровельных воронок.,289
13,Ограждения кровли – просят включить в комплектацию ограждения со снегозадержателями.,825
14,Кровельные ограждения следует дополнить элементами для удержания снега.,825
15,Рекомендуется добавить в комплект кровельные ограждения с устройствами для снегозадержания.,825
16,Для ограждений кровли просят предусмотреть наличие снегозадержателей.,825
17,Рассмотреть возможность выдачи гарантии на систему с применением обезличенных материалов с соблюдением требований по характеристикам (так делает PLASTFOIL).,332
18,"Оценить вариант предоставления гарантии на систему с использованием материалов без указания бренда и с соответствием характеристикам (подход, применяемый компанией PLASTFOIL).",332
19,"Проанализировать возможность оформления гарантии на системы при использовании обезличенных материалов, соблюдая при этом все необходимые характеристики (по примеру PLASTFOIL).",332
20,"Исследовать вероятность предоставления гарантии на системы, в которых используются материалы без указания их происхождения, но с выполнением всех характеристик (как у компании PLASTFOIL).",332
